ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
1, 17:12:00, -0.125, -0.125, 6.167, 0.471, 317.163
2, 17:12:06, -0.115, -0.125, 6.170, 0.462, 331.039
3, 17:12:07, -0.105, -0.125, 6.164, 0.477, 332.775
4, 17:12:08, -0.095, -0.125, 6.155, 0.457, 325.090
5, 17:12:10, -0.085, -0.125, 6.157, 0.477, 332.720
6, 17:12:11, -0.075, -0.125, 6.157, 0.467, 340.045
7, 17:12:12, -0.065, -0.125, 6.155, 0.478, 350.622
8, 17:12:14, -0.055, -0.125, 6.147, 0.451, 339.137
9, 17:12:15, -0.045, -0.125, 6.157, 0.458, 346.756
10, 17:12:16, -0.035, -0.125, 6.148, 0.512, 331.161
11, 17:12:18, -0.025, -0.125, 6.149, 0.455, 365.154
12, 17:12:19, -0.015, -0.125, 6.161, 0.461, 353.520
13, 17:12:20, -0.005, -0.125, 6.152, 0.448, 311.914
14, 17:12:22, 0.005, -0.125, 6.162, 0.467, 299.890
15, 17:12:23, 0.015, -0.125, 6.163, 0.469, 299.201
16, 17:12:24, 0.025, -0.125, 6.151, 0.507, 295.629
17, 17:12:26, 0.035, -0.125, 6.164, 0.468, 333.723
18, 17:12:27, 0.045, -0.125, 6.163, 0.463, 323.206
19, 17:12:28, 0.055, -0.125, 6.171, 0.479, 315.426
20, 17:12:30, 0.065, -0.125, 6.158, 0.443, 304.670
21, 17:12:31, 0.075, -0.125, 6.169, 0.495, 289.146
22, 17:12:32, 0.085, -0.125, 6.171, 0.447, 292.445
23, 17:12:34, 0.095, -0.125, 6.163, 0.470, 300.165
24, 17:12:35, 0.105, -0.125, 6.172, 0.476, 289.196
25, 17:12:36, 0.115, -0.125, 6.181, 0.468, 298.564
26, 17:12:37, 0.125, -0.125, 6.172, 0.460, 288.598
27, 17:12:39, -0.125, -0.115, 6.186, 0.468, 309.204
28, 17:12:40, -0.115, -0.115, 6.169, 0.459, 309.793
29, 17:12:42, -0.105, -0.115, 6.174, 0.462, 293.949
30, 17:12:43, -0.095, -0.115, 6.159, 0.470, 297.226
31, 17:12:44, -0.085, -0.115, 6.163, 0.449, 287.607
32, 17:12:46, -0.075, -0.115, 6.158, 0.471, 304.566
33, 17:12:47, -0.065, -0.115, 6.152, 0.448, 304.296
34, 17:12:48, -0.055, -0.115, 6.144, 0.471, 312.079
35, 17:12:50, -0.045, -0.115, 6.153, 0.465, 298.613
36, 17:12:51, -0.035, -0.115, 6.150, 0.488, 295.197
37, 17:12:52, -0.025, -0.115, 6.154, 0.451, 304.871
38, 17:12:54, -0.015, -0.115, 6.142, 0.488, 306.177
39, 17:12:55, -0.005, -0.115, 6.150, 0.487, 269.669
