ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
1, 18:26:06, -0.075, -0.075, 6.121, 0.456, 2525.781
2, 18:26:07, -0.065, -0.075, 6.124, 0.477, 2510.115
3, 18:26:09, -0.055, -0.075, 6.117, 0.449, 2494.426
4, 18:26:10, -0.045, -0.075, 6.125, 0.463, 2405.852
5, 18:26:11, -0.035, -0.075, 6.123, 0.463, 2437.747
6, 18:26:12, -0.025, -0.075, 6.122, 0.467, 2501.289
7, 18:26:14, -0.015, -0.075, 6.119, 0.467, 2565.039
8, 18:26:16, -0.005, -0.075, 6.122, 0.464, 2617.505
9, 18:26:17, 0.005, -0.075, 6.125, 0.463, 2596.220
10, 18:26:18, 0.015, -0.075, 6.124, 0.473, 2634.876
11, 18:26:19, 0.025, -0.075, 6.120, 0.461, 2645.519
12, 18:26:21, 0.035, -0.075, 6.125, 0.461, 2729.645
13, 18:26:22, 0.045, -0.075, 6.127, 0.462, 2658.831
14, 18:26:23, 0.055, -0.075, 6.123, 0.472, 2660.986
15, 18:26:25, 0.065, -0.075, 6.120, 0.461, 2686.050
16, 18:26:26, 0.075, -0.075, 6.125, 0.478, 2668.976
17, 18:26:27, -0.075, -0.065, 6.120, 0.463, 2594.016
18, 18:26:29, -0.065, -0.065, 6.125, 0.462, 2537.286
19, 18:26:31, -0.055, -0.065, 6.123, 0.461, 2391.884
20, 18:26:32, -0.045, -0.065, 6.119, 0.459, 2340.807
21, 18:26:33, -0.035, -0.065, 6.114, 0.457, 2364.494
22, 18:26:34, -0.025, -0.065, 6.120, 0.477, 2293.820
23, 18:26:36, -0.015, -0.065, 6.126, 0.467, 2370.375
24, 18:26:37, -0.005, -0.065, 6.121, 0.463, 2398.394
25, 18:26:38, 0.005, -0.065, 6.125, 0.461, 2402.892
26, 18:26:40, 0.015, -0.065, 6.124, 0.468, 2465.379
27, 18:26:41, 0.025, -0.065, 6.128, 0.467, 2514.989
28, 18:26:42, 0.035, -0.065, 6.126, 0.475, 2589.366
29, 18:26:43, 0.045, -0.065, 6.125, 0.468, 2538.671
30, 18:26:45, 0.055, -0.065, 6.123, 0.466, 2635.923
31, 18:26:46, 0.065, -0.065, 6.123, 0.469, 2610.423
32, 18:26:47, 0.075, -0.065, 6.120, 0.468, 2599.647
33, 18:26:49, -0.075, -0.055, 6.119, 0.454, 2544.300
34, 18:26:50, -0.065, -0.055, 6.122, 0.468, 2488.561
35, 18:26:51, -0.055, -0.055, 6.119, 0.464, 2500.179
36, 18:26:53, -0.045, -0.055, 6.122, 0.456, 2522.553
37, 18:26:54, -0.035, -0.055, 6.120, 0.458, 2490.289
38, 18:26:55, -0.025, -0.055, 6.123, 0.477, 2510.273
39, 18:26:56, -0.015, -0.055, 6.127, 0.463, 2566.862
40, 18:26:58, -0.005, -0.055, 6.123, 0.460, 2641.160
41, 18:27:00, 0.005, -0.055, 6.121, 0.461, 2693.166
42, 18:27:01, 0.015, -0.055, 6.122, 0.461, 2744.982
43, 18:27:02, 0.025, -0.055, 6.125, 0.468, 2731.521
44, 18:27:03, 0.035, -0.055, 6.127, 0.465, 2783.340
45, 18:27:05, 0.045, -0.055, 6.127, 0.462, 2774.074
46, 18:27:06, 0.055, -0.055, 6.127, 0.475, 2751.194
47, 18:27:07, 0.065, -0.055, 6.125, 0.470, 2714.466
48, 18:27:09, 0.075, -0.055, 6.129, 0.459, 2720.450
