ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
1, 13:33:50, -0.075, -0.075, 6.193, 0.457, 3458.821
2, 13:33:51, -0.065, -0.075, 6.188, 0.443, 3533.590
3, 13:33:53, -0.055, -0.075, 6.191, 0.447, 3544.931
4, 13:33:54, -0.045, -0.075, 6.190, 0.447, 3535.673
5, 13:33:55, -0.035, -0.075, 6.191, 0.443, 3509.298
6, 13:33:57, -0.025, -0.075, 6.188, 0.448, 3398.494
7, 13:33:58, -0.015, -0.075, 6.193, 0.445, 3365.110
8, 13:33:59, -0.005, -0.075, 6.195, 0.456, 3404.631
9, 13:34:00, 0.005, -0.075, 6.190, 0.443, 3409.604
10, 13:34:02, 0.015, -0.075, 6.195, 0.444, 3401.917
11, 13:34:03, 0.025, -0.075, 6.191, 0.443, 3370.391
12, 13:34:04, 0.035, -0.075, 6.193, 0.453, 3262.054
13, 13:34:06, 0.045, -0.075, 6.190, 0.451, 3349.421
14, 13:34:07, 0.055, -0.075, 6.182, 0.441, 3546.886
15, 13:34:08, 0.065, -0.075, 6.178, 0.445, 3652.622
16, 13:34:09, 0.075, -0.075, 6.177, 0.448, 3712.726
17, 13:34:11, -0.075, -0.065, 6.191, 0.444, 3434.004
18, 13:34:12, -0.065, -0.065, 6.188, 0.443, 3585.525
19, 13:34:14, -0.055, -0.065, 6.187, 0.449, 3679.037
20, 13:34:15, -0.045, -0.065, 6.186, 0.438, 3653.746
21, 13:34:16, -0.035, -0.065, 6.192, 0.445, 3552.963
22, 13:34:17, -0.025, -0.065, 6.188, 0.446, 3526.020
23, 13:34:19, -0.015, -0.065, 6.195, 0.449, 3447.218
24, 13:34:20, -0.005, -0.065, 6.192, 0.447, 3439.510
25, 13:34:21, 0.005, -0.065, 6.191, 0.452, 3367.353
26, 13:34:23, 0.015, -0.065, 6.191, 0.446, 3420.149
27, 13:34:24, 0.025, -0.065, 6.195, 0.448, 3405.323
28, 13:34:25, 0.035, -0.065, 6.193, 0.451, 3377.107
29, 13:34:27, 0.045, -0.065, 6.186, 0.452, 3374.884
30, 13:34:28, 0.055, -0.065, 6.183, 0.446, 3407.152
31, 13:34:29, 0.065, -0.065, 6.178, 0.443, 3501.136
32, 13:34:30, 0.075, -0.065, 6.179, 0.440, 3619.821
33, 13:34:32, -0.075, -0.055, 6.187, 0.445, 3309.547
34, 13:34:33, -0.065, -0.055, 6.189, 0.454, 3373.148
35, 13:34:35, -0.055, -0.055, 6.188, 0.443, 3516.209
36, 13:34:36, -0.045, -0.055, 6.187, 0.441, 3580.465
37, 13:34:37, -0.035, -0.055, 6.192, 0.451, 3687.596
38, 13:34:38, -0.025, -0.055, 6.188, 0.440, 3623.204
39, 13:34:40, -0.015, -0.055, 6.185, 0.450, 3577.887
40, 13:34:41, -0.005, -0.055, 6.191, 0.448, 3573.681
41, 13:34:42, 0.005, -0.055, 6.187, 0.449, 3587.120
42, 13:34:44, 0.015, -0.055, 6.189, 0.438, 3550.324
43, 13:34:45, 0.025, -0.055, 6.187, 0.444, 3561.127
44, 13:34:46, 0.035, -0.055, 6.184, 0.448, 3514.842
45, 13:34:48, 0.045, -0.055, 6.190, 0.448, 3551.223
46, 13:34:49, 0.055, -0.055, 6.177, 0.444, 3489.959
47, 13:34:50, 0.065, -0.055, 6.181, 0.435, 3464.302
48, 13:34:51, 0.075, -0.055, 6.177, 0.441, 3498.396
49, 13:34:53, -0.075, -0.045, 6.183, 0.446, 3355.524
50, 13:34:54, -0.065, -0.045, 6.179, 0.436, 3422.307
51, 13:34:56, -0.055, -0.045, 6.183, 0.448, 3411.352
52, 13:34:57, -0.045, -0.045, 6.185, 0.439, 3548.062
53, 13:34:58, -0.035, -0.045, 6.186, 0.452, 3611.028
54, 13:35:00, -0.025, -0.045, 6.180, 0.440, 3673.378
55, 13:35:01, -0.015, -0.045, 6.183, 0.451, 3670.856
56, 13:35:02, -0.005, -0.045, 6.181, 0.448, 3696.604
