ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
0, 13:29:38, -0.070, -0.070, 6.164, 0.881, 1349.008
1, 13:29:39, -0.063, -0.070, 6.174, 0.867, 1372.259
2, 13:29:39, -0.056, -0.070, 6.164, 0.876, 1402.785
3, 13:29:40, -0.049, -0.070, 6.164, 0.864, 1428.878
4, 13:29:41, -0.042, -0.070, 6.165, 0.865, 1484.017
5, 13:29:42, -0.035, -0.070, 6.154, 0.858, 1492.359
6, 13:29:43, -0.028, -0.070, 6.156, 0.861, 1506.319
7, 13:29:44, -0.021, -0.070, 6.151, 0.864, 1546.706
8, 13:29:45, -0.014, -0.070, 6.148, 0.856, 1556.419
9, 13:29:45, -0.007, -0.070, 6.142, 0.848, 1579.856
10, 13:29:46, 0.000, -0.070, 6.137, 0.872, 1580.615
11, 13:29:47, 0.007, -0.070, 6.135, 0.862, 1606.151
12, 13:29:48, 0.014, -0.070, 6.136, 0.867, 1597.932
13, 13:29:49, 0.021, -0.070, 6.132, 0.844, 1597.373
14, 13:29:50, 0.028, -0.070, 6.133, 0.851, 1568.611
15, 13:29:50, 0.035, -0.070, 6.129, 0.857, 1492.874
16, 13:29:51, 0.042, -0.070, 6.128, 0.849, 1470.827
17, 13:29:52, 0.049, -0.070, 6.127, 0.853, 1452.292
18, 13:29:53, 0.056, -0.070, 6.125, 0.839, 1483.669
19, 13:29:54, 0.063, -0.070, 6.127, 0.857, 1474.932
20, 13:29:55, 0.070, -0.070, 6.126, 0.842, 1501.459
21, 13:29:56, -0.070, -0.063, 6.167, 0.880, 1403.427
22, 13:29:57, -0.063, -0.063, 6.165, 0.865, 1427.936
23, 13:29:58, -0.056, -0.063, 6.161, 0.866, 1451.770
24, 13:29:58, -0.049, -0.063, 6.164, 0.872, 1531.778
25, 13:29:59, -0.042, -0.063, 6.159, 0.863, 1556.770
26, 13:30:00, -0.035, -0.063, 6.159, 0.866, 1571.500
27, 13:30:01, -0.028, -0.063, 6.149, 0.858, 1567.637
28, 13:30:02, -0.021, -0.063, 6.154, 0.864, 1518.913
29, 13:30:03, -0.014, -0.063, 6.141, 0.853, 1528.945
30, 13:30:03, -0.007, -0.063, 6.138, 0.855, 1502.239
31, 13:30:04, 0.000, -0.063, 6.137, 0.843, 1534.695
32, 13:30:05, 0.007, -0.063, 6.138, 0.847, 1535.600
33, 13:30:06, 0.014, -0.063, 6.130, 0.856, 1538.384
