ID, Time (HH:MM:SS), X (mm), Y (mm), Shift (GHz), FWHM (GHz), Ampl.
1, 15:29:14, -0.075, -0.075, 6.107, 0.437, 1915.418
2, 15:29:15, -0.065, -0.075, 6.116, 0.437, 1920.066
3, 15:29:16, -0.055, -0.075, 6.115, 0.433, 1926.396
4, 15:29:17, -0.045, -0.075, 6.143, 0.476, 1889.594
5, 15:29:19, -0.035, -0.075, 6.114, 0.442, 1920.876
6, 15:29:20, -0.025, -0.075, 6.114, 0.443, 1919.134
7, 15:29:21, -0.015, -0.075, 6.117, 0.438, 1938.755
8, 15:29:23, -0.005, -0.075, 6.109, 0.439, 1983.559
9, 15:29:24, 0.005, -0.075, 6.112, 0.447, 2029.984
10, 15:29:25, 0.015, -0.075, 6.116, 0.435, 2060.373
11, 15:29:27, 0.025, -0.075, 6.121, 0.450, 2109.406
12, 15:29:28, 0.035, -0.075, 6.118, 0.444, 2170.393
13, 15:29:29, 0.045, -0.075, 6.110, 0.438, 2172.447
14, 15:29:30, 0.055, -0.075, 6.122, 0.437, 2201.165
15, 15:29:32, 0.065, -0.075, 6.120, 0.438, 2201.532
16, 15:29:33, 0.075, -0.075, 6.127, 0.442, 2180.083
17, 15:29:35, -0.075, -0.065, 6.115, 0.448, 2184.872
18, 15:29:36, -0.065, -0.065, 6.111, 0.438, 2162.726
19, 15:29:37, -0.055, -0.065, 6.112, 0.449, 2115.448
20, 15:29:39, -0.045, -0.065, 6.114, 0.436, 2108.433
21, 15:29:40, -0.035, -0.065, 6.110, 0.448, 2076.919
22, 15:29:42, -0.025, -0.065, 6.116, 0.442, 2095.470
23, 15:29:43, -0.015, -0.065, 6.115, 0.431, 2080.041
24, 15:29:44, -0.005, -0.065, 6.118, 0.442, 2051.877
25, 15:29:46, 0.005, -0.065, 6.110, 0.435, 2090.996
26, 15:29:47, 0.015, -0.065, 6.112, 0.438, 2021.451
27, 15:29:48, 0.025, -0.065, 6.119, 0.434, 2036.895
28, 15:29:49, 0.035, -0.065, 6.113, 0.440, 2032.241
29, 15:29:51, 0.045, -0.065, 6.121, 0.439, 2006.823
30, 15:29:52, 0.055, -0.065, 6.119, 0.439, 1985.571
31, 15:29:53, 0.065, -0.065, 6.119, 0.431, 1992.934
32, 15:29:55, 0.075, -0.065, 6.127, 0.437, 1930.846
33, 15:29:56, -0.075, -0.055, 6.111, 0.446, 1928.061
34, 15:29:58, -0.065, -0.055, 6.117, 0.442, 1618.878
35, 15:29:59, -0.055, -0.055, 6.112, 0.431, 1894.604
36, 15:30:00, -0.045, -0.055, 6.115, 0.438, 1900.759
37, 15:30:01, -0.035, -0.055, 6.115, 0.438, 1912.101
38, 15:30:03, -0.025, -0.055, 6.106, 0.449, 1892.065
39, 15:30:04, -0.015, -0.055, 6.118, 0.438, 1858.661
40, 15:30:05, -0.005, -0.055, 6.117, 0.436, 1906.509
41, 15:30:07, 0.005, -0.055, 6.116, 0.435, 1898.914
42, 15:30:08, 0.015, -0.055, 6.114, 0.438, 1890.594
43, 15:30:09, 0.025, -0.055, 6.111, 0.435, 1885.796
44, 15:30:10, 0.035, -0.055, 6.113, 0.441, 1901.262
45, 15:30:12, 0.045, -0.055, 6.118, 0.435, 1874.482
46, 15:30:13, 0.055, -0.055, 6.118, 0.434, 1867.706
47, 15:30:14, 0.065, -0.055, 6.116, 0.447, 1856.435
48, 15:30:16, 0.075, -0.055, 6.126, 0.435, 1854.800
49, 15:30:17, -0.075, -0.045, 6.127, 0.432, 1878.803
50, 15:30:18, -0.065, -0.045, 6.125, 0.441, 1861.579
51, 15:30:20, -0.055, -0.045, 6.117, 0.437, 1865.418
52, 15:30:21, -0.045, -0.045, 6.132, 0.436, 1898.420
53, 15:30:22, -0.035, -0.045, 6.107, 0.445, 1820.831
54, 15:30:24, -0.025, -0.045, 6.114, 0.441, 1897.243
55, 15:30:25, -0.015, -0.045, 6.112, 0.441, 1896.520
56, 15:30:26, -0.005, -0.045, 6.112, 0.435, 1807.875
57, 15:30:28, 0.005, -0.045, 6.117, 0.434, 1942.370
58, 15:30:29, 0.015, -0.045, 6.120, 0.434, 1953.820
59, 15:30:30, 0.025, -0.045, 6.115, 0.432, 1960.702
60, 15:30:31, 0.035, -0.045, 6.111, 0.434, 2029.224
61, 15:30:33, 0.045, -0.045, 6.116, 0.445, 2002.330
62, 15:30:34, 0.055, -0.045, 6.126, 0.443, 2039.033
63, 15:30:35, 0.065, -0.045, 6.127, 0.433, 2063.521
64, 15:30:37, 0.075, -0.045, 6.126, 0.436, 2113.464
65, 15:30:38, -0.075, -0.035, 6.114, 0.433, 2110.552
66, 15:30:39, -0.065, -0.035, 6.114, 0.433, 2111.235
67, 15:30:41, -0.055, -0.035, 6.115, 0.433, 2127.104
68, 15:30:42, -0.045, -0.035, 6.113, 0.433, 2033.906
69, 15:30:43, -0.035, -0.035, 6.214, 0.504, 1648.971
70, 15:30:45, -0.025, -0.035, 6.365, 0.602, 1261.289
71, 15:30:46, -0.015, -0.035, 6.383, 0.573, 1466.860
72, 15:30:47, -0.005, -0.035, 6.388, 0.583, 1523.176
73, 15:30:49, 0.005, -0.035, 6.285, 0.541, 1459.921
74, 15:30:50, 0.015, -0.035, 6.139, 0.461, 1818.600
75, 15:30:51, 0.025, -0.035, 6.124, 0.436, 2043.217
76, 15:30:52, 0.035, -0.035, 6.117, 0.450, 2082.799
77, 15:30:54, 0.045, -0.035, 6.117, 0.434, 2077.608
78, 15:30:55, 0.055, -0.035, 6.126, 0.442, 2058.004
79, 15:30:56, 0.065, -0.035, 6.122, 0.437, 2084.479
80, 15:30:58, 0.075, -0.035, 6.128, 0.444, 2093.539
81, 15:30:59, -0.075, -0.025, 6.121, 0.427, 2077.207
82, 15:31:01, -0.065, -0.025, 6.116, 0.435, 2094.606
83, 15:31:02, -0.055, -0.025, 6.112, 0.444, 2095.707
84, 15:31:03, -0.045, -0.025, 6.144, 0.454, 1995.057
85, 15:31:04, -0.035, -0.025, 6.408, 0.617, 1536.331
86, 15:31:06, -0.025, -0.025, 6.447, 0.606, 1283.153
87, 15:31:07, -0.015, -0.025, 6.440, 0.629, 1042.649
88, 15:31:08, -0.005, -0.025, 6.428, 0.614, 1130.115
89, 15:31:10, 0.005, -0.025, 6.453, 0.616, 930.759
90, 15:31:11, 0.015, -0.025, 6.377, 0.592, 1002.371
91, 15:31:12, 0.025, -0.025, 6.274, 0.553, 1278.716
92, 15:31:13, 0.035, -0.025, 6.114, 0.433, 2026.006
93, 15:31:15, 0.045, -0.025, 6.121, 0.440, 1951.269
94, 15:31:16, 0.055, -0.025, 6.121, 0.430, 2016.873
95, 15:31:17, 0.065, -0.025, 6.120, 0.437, 2025.821
